"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year","rarity_score","n_grid_cells","lat_range","lon_range","range_score","trend","trend_score","priority_score","priority_level"
"Carpodacus rubicilloides",NA,2,0,2,2011,2019,100,2,0.0159829508000016,0.0476196378999987,100,-2,100,100,"Critical Priority"
"Phalaropus lobatus",NA,2,0,2,2017,2017,100,2,2.3194789968,0.143627911899998,100,-2,100,100,"Critical Priority"
"Athene noctua","Athene noctua (Scopoli, 1769)",1,1,0,2018,2018,100,2,1.0334505556,3.4425527778,100,-2,100,100,"Critical Priority"
"Athene noctua",NA,1,0,1,2019,2019,100,2,1.0334505556,3.4425527778,100,-2,100,100,"Critical Priority"
"Bubo bengalensis",NA,1,0,1,2018,2018,100,1,0,0,100,-1,100,100,"Critical Priority"
"Calidris acuminata",NA,1,0,1,2017,2017,100,1,0,0,100,-1,100,100,"Critical Priority"
"Cyanoderma pyrrhops",NA,1,0,1,2018,2018,100,1,0,0,100,-1,100,100,"Critical Priority"
"Geopelia cuneata",NA,1,0,1,2018,2018,100,1,0,0,100,-1,100,100,"Critical Priority"
"Gymnoris xanthocollis",NA,1,0,1,2018,2018,100,1,0,0,100,-1,100,100,"Critical Priority"
"Parus major","Parus major Linnaeus, 1758",1,1,0,2018,2018,100,1,0,0,100,-1,100,100,"Critical Priority"
"Passer hispaniolensis",NA,1,0,1,2017,2017,100,1,0,0,100,-1,100,100,"Critical Priority"
"Tetraogallus tibetanus","Tetraogallus tibetanus Gould, 1854",1,1,0,2019,2019,100,1,0,0,100,-1,100,100,"Critical Priority"
"Vanellus vanellus",NA,1,0,1,2017,2017,100,1,0,0,100,-1,100,100,"Critical Priority"
"Tetrax tetrax","Tetrax tetrax (Linnaeus, 1758)",5,5,0,2020,2024,100,2,0.113750000000003,0.223734999999991,100,5,40,82,"Critical Priority"
"Argya striata",NA,4,0,4,2019,2025,100,1,0,0,100,2,40,82,"Critical Priority"
"Ortygornis pondicerianus","Ortygornis pondicerianus (J.F.Gmelin, 1789)",4,4,0,2020,2024,100,2,0.963850000000001,0.220369999999988,100,4,40,82,"Critical Priority"
"Argya caudata",NA,3,0,3,2021,2025,100,1,0.0393067755999965,0.000835843399997316,100,3,40,82,"Critical Priority"
"Calidris minuta",NA,3,0,3,2021,2024,100,2,2.069267795,0.17165614679999,100,4,40,82,"Critical Priority"
"Delichon urbicum","Delichon urbicum (Linnaeus, 1758)",3,3,0,2022,2023,100,2,0.768770000000004,0.615389999999991,100,3,40,82,"Critical Priority"
"Luscinia phaenicuroides",NA,3,0,3,2022,2023,100,1,0.00521453089999824,0.00123193510000874,100,3,40,82,"Critical Priority"
"Pomatorhinus erythrogenys","Erythrogenys erythrogenys (Vigors, 1831)",3,3,0,2024,2024,100,1,0,0,100,3,40,82,"Critical Priority"
"Psittacula cyanocephala","Psittacula cyanocephala (Linnaeus, 1766)",3,3,0,2020,2024,100,2,0.495967,0.266470000000012,100,3,40,82,"Critical Priority"
"Zapornia pusilla",NA,3,0,3,2021,2023,100,2,2.4194392178,0.0787618415999987,100,3,40,82,"Critical Priority"
"Acrocephalus agricola","Acrocephalus agricola (Jerdon, 1845)",2,2,0,2022,2023,100,2,0.156280000000002,0.26491,100,2,40,82,"Critical Priority"
"Amaurornis phoenicurus","Amaurornis phoenicurus (Pennant, 1769)",2,2,0,2022,2022,100,2,0.159683000000001,1.37331,100,2,40,82,"Critical Priority"
"Anarhynchus alexandrinus",NA,2,0,2,2023,2023,100,2,0.0956856667000068,0.0966036666999912,100,2,40,82,"Critical Priority"
"Anthropoides virgo","Anthropoides virgo (Linnaeus, 1758)",2,2,0,2022,2024,100,2,0.129295999999997,1.17916000000001,100,2,40,82,"Critical Priority"
"Anthus campestris","Anthus campestris (Linnaeus, 1758)",2,2,0,2021,2021,100,1,0,0,100,2,40,82,"Critical Priority"
"Anthus cervinus","Anthus cervinus (Pallas, 1811)",2,2,0,2021,2021,100,1,0,0,100,2,40,82,"Critical Priority"
"Anthus sylvanus","Anthus sylvanus (Hodgson, 1845)",2,2,0,2020,2022,100,2,0.0797850000000011,1.33184999999999,100,2,40,82,"Critical Priority"
"Asio otus",NA,2,0,2,2022,2024,100,2,0.436850056799997,2.45008679070001,100,2,40,82,"Critical Priority"
"Buteo hemilasius",NA,2,0,2,2017,2023,100,2,1.9001134787,2.5932391261,100,0,40,82,"Critical Priority"
"Cacomantis passerinus","Cacomantis passerinus (Vahl, 1797)",2,2,0,2022,2022,100,2,0.472703000000003,0.0841599999999971,100,2,40,82,"Critical Priority"
"Carpodacus puniceus","Carpodacus puniceus (Blyth, 1845)",2,2,0,2023,2023,100,1,0,0,100,2,40,82,"Critical Priority"
"Circus cyaneus",NA,2,0,2,2020,2022,100,2,1.05853164259999,0.848963798900002,100,1,40,82,"Critical Priority"
"Cuculus poliocephalus","Cuculus poliocephalus Latham, 1790",2,2,0,2023,2023,100,1,0,0,100,2,40,82,"Critical Priority"
"Cyanistes cyanus",NA,2,0,2,2014,2025,100,1,0.000225309900002912,0.000500268099997925,100,0,40,82,"Critical Priority"
"Cyornis rubeculoides","Cyornis rubeculoides (Vigors, 1831)",2,2,0,2020,2023,100,2,0.0742599999999953,0.0507100000000094,100,2,40,82,"Critical Priority"
"Dendrocopos leucopterus",NA,2,0,2,2025,2025,100,2,0.0321513888999974,0.0138972222999882,100,2,40,82,"Critical Priority"
"Dendrocopos macei","Dendrocopos macei (Vieillot, 1818)",2,2,0,2021,2023,100,2,0.565205200000001,1.3359485,100,3,40,82,"Critical Priority"
"Emberiza melanocephala","Emberiza melanocephala Scopoli, 1769",2,2,0,2023,2023,100,2,1.35036330000001,0.933425,100,3,40,82,"Critical Priority"
"Emberiza pusilla","Emberiza pusilla Pallas, 1776",2,2,0,2020,2021,100,2,0.450699,0.461029999999994,100,2,40,82,"Critical Priority"
"Ficedula parva","Ficedula parva (Bechstein, 1792)",2,2,0,2021,2025,100,2,0.0104570523999996,2.01447999999999,100,3,40,82,"Critical Priority"
"Gracupica contra","Gracupica contra (Linnaeus, 1758)",2,2,0,2023,2025,100,1,6.83332999997788e-05,8.43332999949098e-05,100,3,40,82,"Critical Priority"
"Grus virgo",NA,2,0,2,2023,2023,100,1,0.00203671340000255,0.00881906409999544,100,2,40,82,"Critical Priority"
"Gyps fulvus","Gyps fulvus (Hablizl, 1783)",2,2,0,2022,2024,100,2,0.288978999999998,0.194149999999993,100,2,40,82,"Critical Priority"
"Hierococcyx varius",NA,2,0,2,2018,2021,100,2,0.1867352923,1.7256903648,100,0,40,82,"Critical Priority"
"Hirundapus caudacutus","Hirundapus caudacutus (Latham, 1801)",2,2,0,2022,2024,100,1,0.0212670000000017,0.01527999999999,100,2,40,82,"Critical Priority"
"Hydrophasianus chirurgus",NA,2,0,2,2020,2023,100,2,0.0384828253000009,1.30683745269999,100,2,40,82,"Critical Priority"
"Lanius tephronotus",NA,2,0,2,2023,2023,100,2,0.1358445682,0.540744904500002,100,2,40,82,"Critical Priority"
"Loxia curvirostra","Loxia curvirostra Linnaeus, 1758",2,2,0,2024,2024,100,2,0.587127000000002,0.0613500000000045,100,2,40,82,"Critical Priority"
"Merops philippinus","Merops philippinus Linnaeus, 1767",2,2,0,2020,2022,100,2,0.0474280000000036,0.701705999999987,100,2,40,82,"Critical Priority"
"Monticola saxatilis","Monticola saxatilis (Linnaeus, 1766)",2,2,0,2020,2023,100,2,1.35036330000001,0.933424700000003,100,1,40,82,"Critical Priority"
"Oenanthe albonigra","Oenanthe albonigra (Hume, 1872)",2,2,0,2023,2023,100,2,0.386398,0.197626,100,2,40,82,"Critical Priority"
"Perdix hodgsoniae",NA,2,0,2,2019,2021,100,1,0.0031836079999934,0.00489775890000033,100,0,40,82,"Critical Priority"
"Pluvialis fulva",NA,2,0,2,2021,2022,100,1,0,0,100,2,40,82,"Critical Priority"
"Prinia inornata","Prinia inornata Sykes, 1832",2,2,0,2019,2023,100,2,0.0864570000000029,0.262360000000001,100,0,40,82,"Critical Priority"
"Prinia socialis","Prinia socialis Sykes, 1832",2,2,0,2024,2024,100,2,0.0688859999999991,0.038406000000009,100,2,40,82,"Critical Priority"
"Pteruthius aeralatus","Pteruthius aeralatus Blyth, 1855",2,2,0,2022,2023,100,2,0.0343519999999984,0.194699999999997,100,2,40,82,"Critical Priority"
"Recurvirostra avosetta",NA,2,0,2,2021,2021,100,1,0.00167435270000027,0.0014258950999988,100,2,40,82,"Critical Priority"
"Riparia chinensis","Riparia chinensis (J.E.Gray, 1830)",2,2,0,2021,2022,100,2,0.696866,0.402340000000009,100,2,40,82,"Critical Priority"
"Rostratula benghalensis",NA,2,0,2,2021,2022,100,1,0.000185561300000359,0.011027749100009,100,2,40,82,"Critical Priority"
"Tringa erythropus",NA,2,0,2,2021,2021,100,1,9.79996000012306e-05,0.000208206500005303,100,2,40,82,"Critical Priority"
"Urocissa erythroryncha",NA,2,0,2,2023,2025,100,2,0.0379852999999954,0.0489091999999971,100,2,40,82,"Critical Priority"
"Xenus cinereus","Xenus cinereus (Güldenstädt, 1775)",2,2,0,2023,2023,100,2,0.269826299999998,0.881987999999993,100,3,40,82,"Critical Priority"
"Acrocephalus arundinaceus",NA,1,0,1,2025,2025,100,1,0,0,100,1,40,82,"Critical Priority"
"Aegypius monachus",NA,1,0,1,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Amaurornis akool","Zapornia akool (Sykes, 1832)",1,1,0,2022,2022,100,1,0,0,100,1,40,82,"Critical Priority"
"Anarhynchus atrifrons",NA,1,0,1,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Anser indicus","Anser indicus (Latham, 1790)",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Anthus hodgsoni",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Apus leuconyx","Apus leuconyx (Blyth, 1845)",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Astur gentilis",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Aythya nyroca","Aythya nyroca (Güldenstädt, 1770)",1,1,0,2020,2020,100,2,0.5390115485,2.2550892535,100,2,40,82,"Critical Priority"
"Aythya nyroca",NA,1,0,1,2021,2021,100,2,0.5390115485,2.2550892535,100,2,40,82,"Critical Priority"
"Calandrella acutirostris",NA,1,0,1,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Calandrella brachydactyla","Calandrella brachydactyla (Leisler, 1814)",1,1,0,2020,2020,100,1,0,0,100,1,40,82,"Critical Priority"
"Calidris ferruginea",NA,1,0,1,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Calidris minuta","Calidris minuta (Leisler, 1812)",1,1,0,2024,2024,100,2,2.069267795,0.17165614679999,100,4,40,82,"Critical Priority"
"Calidris pugnax",NA,1,0,1,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Carpodacus thura","Carpodacus thura Bonaparte & Schlegel, 1850",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Cecropis rufula",NA,1,0,1,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Centropus sinensis","Centropus sinensis (Stephens, 1815)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Cettia brunnifrons","Cettia brunnifrons (Hodgson, 1845)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Cettia cetti","Cettia cetti (Temminck, 1820)",1,1,0,2022,2022,100,1,0,0,100,1,40,82,"Critical Priority"
"Chelidorhynx hypoxantha","Chelidorhynx hypoxantha (Blyth, 1843)",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Chloris chloris","Chloris chloris (Linnaeus, 1758)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Ciconia nigra",NA,1,0,1,2025,2025,100,1,0,0,100,1,40,82,"Critical Priority"
"Circus cyaneus","Circus cyaneus (Linnaeus, 1766)",1,1,0,2019,2019,100,2,1.05853164259999,0.848963798900002,100,1,40,82,"Critical Priority"
"Copsychus fulicatus",NA,1,0,1,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Coturnix coturnix","Coturnix coturnix (Linnaeus, 1758)",1,1,0,2022,2022,100,2,2.1593741225,3.4346334306,100,2,40,82,"Critical Priority"
"Coturnix coturnix",NA,1,0,1,2022,2022,100,2,2.1593741225,3.4346334306,100,2,40,82,"Critical Priority"
"Cygnus columbianus","Cygnus columbianus (Ord, 1815)",1,1,0,2020,2020,100,2,0.0266282967000038,1.91184866799999,100,2,40,82,"Critical Priority"
"Cygnus columbianus",NA,1,0,1,2021,2021,100,2,0.0266282967000038,1.91184866799999,100,2,40,82,"Critical Priority"
"Dendrocopos macei",NA,1,0,1,2023,2023,100,2,0.565205200000001,1.3359485,100,3,40,82,"Critical Priority"
"Emberiza hortulana","Emberiza hortulana Linnaeus, 1758",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Emberiza melanocephala",NA,1,0,1,2023,2023,100,2,1.35036330000001,0.933425,100,3,40,82,"Critical Priority"
"Emberiza striolata","Emberiza striolata (M.H.K.Lichtenstein, 1823)",1,1,0,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",1,1,0,2020,2020,100,1,0,0,100,1,40,82,"Critical Priority"
"Euodice malabarica","Euodice malabarica (Linnaeus, 1758)",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Falco cherrug",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Falco chicquera","Falco chicquera Daudin, 1800",1,1,0,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Ficedula albicilla",NA,1,0,1,2020,2020,100,1,0,0,100,1,40,82,"Critical Priority"
"Ficedula parva",NA,1,0,1,2025,2025,100,2,0.0104570523999996,2.01447999999999,100,3,40,82,"Critical Priority"
"Galerida cristata","Galerida cristata (Linnaeus, 1758)",1,1,0,2024,2024,100,2,1.1997836305,1.63310719280001,100,0,40,82,"Critical Priority"
"Galerida cristata",NA,1,0,1,2016,2016,100,2,1.1997836305,1.63310719280001,100,0,40,82,"Critical Priority"
"Gallinago solitaria","Gallinago solitaria Hodgson, 1831",1,1,0,2022,2022,100,2,0.496797666699997,2.0786283333,100,2,40,82,"Critical Priority"
"Gallinago solitaria",NA,1,0,1,2021,2021,100,2,0.496797666699997,2.0786283333,100,2,40,82,"Critical Priority"
"Gallus gallus",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Garrulax albogularis","Pterorhinus albogularis (Gould, 1836)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Gracupica contra",NA,1,0,1,2025,2025,100,1,6.83332999997788e-05,8.43332999949098e-05,100,3,40,82,"Critical Priority"
"Grus monacha","Grus monacha Temminck, 1835",1,1,0,2020,2020,100,1,0,0,100,1,40,82,"Critical Priority"
"Grus nigricollis",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Haliaeetus albicilla",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Iduna caligata","Iduna caligata (Lichtenstein, 1823)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Iduna rama","Iduna rama (Sykes, 1832)",1,1,0,2022,2022,100,1,0,0,100,1,40,82,"Critical Priority"
"Lanius collurio","Lanius collurio Linnaeus, 1758",1,1,0,2020,2020,100,1,0,0,100,1,40,82,"Critical Priority"
"Lanius cristatus",NA,1,0,1,2020,2020,100,1,0,0,100,1,40,82,"Critical Priority"
"Lanius isabellinus",NA,1,0,1,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Lanius minor","Lanius minor Gmelin, 1788",1,1,0,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Lanius phoenicuroides",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Lerwa lerwa","Lerwa lerwa (Hodgson, 1833)",1,1,0,2021,2021,100,1,1.99999995231792e-07,2.00000002337219e-07,100,2,40,82,"Critical Priority"
"Lerwa lerwa",NA,1,0,1,2021,2021,100,1,1.99999995231792e-07,2.00000002337219e-07,100,2,40,82,"Critical Priority"
"Limosa limosa",NA,1,0,1,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Merops orientalis","Merops orientalis Latham, 1801",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Microcarbo niger","Microcarbo niger (Vieillot, 1817)",1,1,0,2019,2019,100,2,0.342476767499996,1.5980026121,100,0,40,82,"Critical Priority"
"Microcarbo niger",NA,1,0,1,2025,2025,100,2,0.342476767499996,1.5980026121,100,0,40,82,"Critical Priority"
"Monticola saxatilis",NA,1,0,1,2017,2017,100,2,1.35036330000001,0.933424700000003,100,1,40,82,"Critical Priority"
"Muscicapa striata","Muscicapa striata (Pallas, 1764)",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Mycerobas affinis",NA,1,0,1,2022,2022,100,1,0,0,100,1,40,82,"Critical Priority"
"Mycerobas carnipes","Mycerobas carnipes (Hodgson, 1836)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Oenanthe pleschanka","Oenanthe pleschanka (Lepechin, 1770)",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Otus bakkamoena","Otus bakkamoena Pennant, 1769",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Otus scops","Otus scops (Linnaeus, 1758)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Pastor roseus","Pastor roseus (Linnaeus, 1758)",1,1,0,2022,2022,100,2,1.729876,2.095372,100,0,40,82,"Critical Priority"
"Pastor roseus",NA,1,0,1,2017,2017,100,2,1.729876,2.095372,100,0,40,82,"Critical Priority"
"Pericrocotus cinnamomeus","Pericrocotus cinnamomeus (Linnaeus, 1766)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Phoenicurus phoenicurus",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Phylloscopus whistleri",NA,1,0,1,2025,2025,100,1,0,0,100,1,40,82,"Critical Priority"
"Picus chlorolophus","Picus chlorolophus Vieillot, 1818",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Picus xanthopygaeus",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Rhipidura aureola","Rhipidura aureola Lesson, 1831",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Rhodopechys sanguineus","Rhodopechys sanguineus sanguineus (Gould, 1838)",1,1,0,2022,2022,100,1,1.04900003350394e-07,8.56999946563519e-08,100,2,40,82,"Critical Priority"
"Rhodopechys sanguineus",NA,1,0,1,2022,2022,100,1,1.04900003350394e-07,8.56999946563519e-08,100,2,40,82,"Critical Priority"
"Spatula querquedula","Spatula querquedula (Linnaeus, 1758)",1,1,0,2023,2023,100,2,1.0649325982,0.864332694400005,100,2,40,82,"Critical Priority"
"Spatula querquedula",NA,1,0,1,2021,2021,100,2,1.0649325982,0.864332694400005,100,2,40,82,"Critical Priority"
"Stachyridopsis pyrrhops","Cyanoderma pyrrhops (Blyth, 1844)",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Sterna aurantia","Sterna aurantia J.E.Gray, 1831",1,1,0,2023,2023,100,2,1.0846439684,0.863920494200002,100,2,40,82,"Critical Priority"
"Sterna aurantia",NA,1,0,1,2024,2024,100,2,1.0846439684,0.863920494200002,100,2,40,82,"Critical Priority"
"Strix leptogrammica",NA,1,0,1,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Taccocua leschenaultii","Taccocua leschenaultii Lesson, 1830",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Tadorna tadorna",NA,1,0,1,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Taenioptynx brodiei",NA,1,0,1,2022,2022,100,1,0,0,100,1,40,82,"Critical Priority"
"Tephrodornis pondicerianus","Tephrodornis pondicerianus (Gmelin, 1789)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
"Tragopan melanocephalus",NA,1,0,1,2025,2025,100,6,0.163600026499999,0.142232443799998,60,-52,80,82,"Critical Priority"
"Tringa nebularia","Tringa nebularia (Gunnerus, 1767)",1,1,0,2023,2023,100,1,0,0,100,1,40,82,"Critical Priority"
"Trochalopteron erythrocephalum","Trochalopteron erythrocephalum (Vigors, 1832)",1,1,0,2022,2022,100,1,0,0,100,1,40,82,"Critical Priority"
"Turdus philomelos",NA,1,0,1,2020,2020,100,1,0,0,100,1,40,82,"Critical Priority"
"Turdus ruficollis","Turdus ruficollis Pallas, 1776",1,1,0,2021,2021,100,1,0,0,100,1,40,82,"Critical Priority"
"Xenus cinereus",NA,1,0,1,2023,2023,100,2,0.269826299999998,0.881987999999993,100,3,40,82,"Critical Priority"
"Yungipicus canicapillus","Yungipicus canicapillus (Blyth, 1845)",1,1,0,2024,2024,100,1,0,0,100,1,40,82,"Critical Priority"
NA,NA,1,0,1,2020,2020,100,1,0,0,100,1,40,82,"Critical Priority"
"Botaurus minutus",NA,5,0,5,2021,2025,100,3,0.197146997499999,0.0979640477000032,80,5,40,76,"High Priority"
"Dendrocitta formosae","Dendrocitta formosae Swinhoe, 1863",5,5,0,2020,2021,100,3,0.108406000000002,0.20620000000001,80,5,40,76,"High Priority"
"Himantopus himantopus",NA,5,0,5,2020,2024,100,4,0.490700690099999,2.7787249536,80,5,40,76,"High Priority"
"Mareca strepera",NA,5,0,5,2012,2025,100,5,1.6787692,2.45008249999999,80,5,40,76,"High Priority"
"Tachyspiza badia",NA,5,0,5,2019,2025,100,4,0.929663114199997,0.720140598699999,80,3,40,76,"High Priority"
"Anser cygnoides",NA,4,0,4,2024,2025,100,3,0.0279694042000003,0.158245379299998,80,4,40,76,"High Priority"
"Bucanetes mongolicus",NA,4,0,4,2013,2025,100,5,2.2762333,3.844414,80,1,40,76,"High Priority"
"Buteo buteo","Buteo buteo (Linnaeus, 1758)",4,4,0,2020,2024,100,4,1.54454,0.802250000000001,80,4,40,76,"High Priority"
"Cuculus varius","Hierococcyx varius (Vahl, 1797)",4,4,0,2023,2024,100,4,0.816427000000004,2.20703999999999,80,4,40,76,"High Priority"
"Ficedula ruficauda",NA,4,0,4,2020,2025,100,4,0.574590344899995,1.32728514760001,80,4,40,76,"High Priority"
"Ichthyaetus ichthyaetus","Ichthyaetus ichthyaetus (Pallas, 1773)",4,4,0,2020,2023,100,4,1.340667453,3.7797471402,80,5,40,76,"High Priority"
"Jynx torquilla","Jynx torquilla Linnaeus, 1758",4,4,0,2023,2024,100,4,1.901063,1.81677000000001,80,4,40,76,"High Priority"
"Mareca strepera","Mareca strepera (Linnaeus, 1758)",4,4,0,2019,2021,100,5,1.6787692,2.45008249999999,80,5,40,76,"High Priority"
"Motacilla flava","Motacilla flava Linnaeus, 1758",4,4,0,2022,2025,100,4,0.824489999999997,0.682185000000004,80,5,40,76,"High Priority"
"Phalacrocorax carbo",NA,4,0,4,2019,2025,100,5,1.191071,2.21384690000001,80,1,40,76,"High Priority"
"Picus canus","Picus canus J.F.Gmelin, 1788",4,4,0,2021,2023,100,3,0.575015999999998,0.497699999999995,80,4,40,76,"High Priority"
"Pycnonotus leucotis","Pycnonotus leucotis (Gould, 1836)",4,4,0,2020,2020,100,3,0.334094999999998,0.747734000000008,80,4,40,76,"High Priority"
"Thinornis dubius",NA,4,0,4,2021,2024,100,3,0.653889528699999,2.70537726580001,80,4,40,76,"High Priority"
"Aegithalos niveogularis",NA,3,0,3,2022,2025,100,2,0.276145162600002,0.17631999999999,100,21,20,76,"High Priority"
"Anser anser",NA,3,0,3,2015,2024,100,3,1.0003954077,0.899672000199999,80,0,40,76,"High Priority"
"Aquila heliaca",NA,3,0,3,2024,2024,100,4,0.311149473500002,1.357828287,80,4,40,76,"High Priority"
"Ardea coromanda",NA,3,0,3,2021,2025,100,3,0.690876532000004,2.5232334195,80,3,40,76,"High Priority"
"Athene brama","Athene brama (Temminck, 1821)",3,3,0,2021,2022,100,3,0.625973000000002,1.030554,80,3,40,76,"High Priority"
"Bubo bubo","Bubo bubo (Linnaeus, 1758)",3,3,0,2020,2024,100,3,0.0409325927000026,0.0758164820000076,80,4,40,76,"High Priority"
