"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year","rarity_score","n_grid_cells","lat_range","lon_range","range_score","trend","trend_score","priority_score","priority_level"
"Butastur teesa",NA,3,0,3,2019,2024,100,3,0.324207305899996,0.426811003699996,80,3,40,76,"High Priority"
"Circus aeruginosus","Circus aeruginosus (Linnaeus, 1758)",3,3,0,2021,2023,100,5,1.74690259819999,1.77779269440001,80,5,40,76,"High Priority"
"Clamator jacobinus","Clamator jacobinus (Boddaert, 1783)",3,3,0,2021,2023,100,4,0.973274528699996,2.3858600457,80,4,40,76,"High Priority"
"Coracias benghalensis","Coracias benghalensis (Linnaeus, 1758)",3,3,0,2020,2022,100,3,0.458676000000004,0.255979999999994,80,3,40,76,"High Priority"
"Corvus corone",NA,3,0,3,2023,2025,100,3,2.5465388286,3.7989160658,80,3,40,76,"High Priority"
"Emberiza lathami",NA,3,0,3,2018,2021,100,4,0.636255305899994,0.440552329599996,80,5,40,76,"High Priority"
"Ficedula subrubra",NA,3,0,3,2018,2025,100,3,0.622287579400002,1.0784154408,80,1,40,76,"High Priority"
"Mergus merganser","Mergus merganser Linnaeus, 1758",3,3,0,2020,2023,100,3,0.312137999999997,1.80935359999999,80,2,40,76,"High Priority"
"Montifringilla adamsi",NA,3,0,3,2013,2025,100,3,0.843995999999997,3.75063,80,2,40,76,"High Priority"
"Netta rufina","Netta rufina (Pallas, 1773)",3,3,0,2020,2022,100,5,1.74690259819999,1.7813925,80,3,40,76,"High Priority"
"Oenanthe isabellina",NA,3,0,3,2021,2021,100,3,0.912658598199997,1.13121269440001,80,4,40,76,"High Priority"
"Oenanthe oenanthe","Oenanthe oenanthe (Linnaeus, 1758)",3,3,0,2023,2024,100,5,2.41475926410001,3.75380999999999,80,3,40,76,"High Priority"
"Otus lettia",NA,3,0,3,2024,2024,100,3,0.250258490299998,1.3037449,80,4,40,76,"High Priority"
"Otus spilocephalus","Otus spilocephalus (Blyth, 1846)",3,3,0,2024,2024,100,3,0.618922999999995,0.931850000000011,80,3,40,76,"High Priority"
"Petronia petronia","Petronia petronia (Linnaeus, 1766)",3,3,0,2021,2023,100,4,1.1923587,2.604742,80,1,40,76,"High Priority"
"Phalacrocorax carbo","Phalacrocorax carbo (Linnaeus, 1758)",3,3,0,2019,2023,100,5,1.191071,2.21384690000001,80,1,40,76,"High Priority"
"Porzana pusilla","Zapornia pusilla (Pallas, 1776)",3,3,0,2023,2023,100,3,1.35450700000001,0.932652000000004,80,3,40,76,"High Priority"
"Prinia hodgsonii","Prinia hodgsonii Blyth, 1844",3,3,0,2022,2024,100,3,0.498654000000002,0.928135999999995,80,4,40,76,"High Priority"
"Prunella rubeculoides","Prunella rubeculoides (Moore, 1854)",3,3,0,2020,2023,100,8,1.6778105556,2.841854,60,-5,60,76,"High Priority"
"Scolopax rusticola","Scolopax rusticola Linnaeus, 1758",3,3,0,2020,2024,100,3,1.57525,3.0811173243,80,4,40,76,"High Priority"
"Butastur teesa","Butastur teesa (Franklin, 1831)",2,2,0,2021,2024,100,3,0.324207305899996,0.426811003699996,80,3,40,76,"High Priority"
"Calidris temminckii","Calidris temminckii (Leisler, 1812)",2,2,0,2023,2023,100,3,1.137412795,0.881907133599995,80,4,40,76,"High Priority"
"Calidris temminckii",NA,2,0,2,2021,2023,100,3,1.137412795,0.881907133599995,80,4,40,76,"High Priority"
"Cecropis daurica","Cecropis daurica (Laxmann, 1769)",2,2,0,2024,2024,100,4,0.450807463399997,4.13277446710001,80,4,40,76,"High Priority"
"Cecropis daurica",NA,2,0,2,2021,2023,100,4,0.450807463399997,4.13277446710001,80,4,40,76,"High Priority"
"Chroicocephalus brunnicephalus","Chroicocephalus brunnicephalus (Jerdon, 1840)",2,2,0,2020,2023,100,4,1.192288,4.7896525,80,4,40,76,"High Priority"
"Chroicocephalus brunnicephalus",NA,2,0,2,2020,2024,100,4,1.192288,4.7896525,80,4,40,76,"High Priority"
"Chroicocephalus ridibundus","Chroicocephalus ridibundus (Linnaeus, 1766)",2,2,0,2023,2023,100,4,1.42363,4.37870885940001,80,2,40,76,"High Priority"
"Chroicocephalus ridibundus",NA,2,0,2,2018,2025,100,4,1.42363,4.37870885940001,80,2,40,76,"High Priority"
"Circus aeruginosus",NA,2,0,2,2020,2021,100,5,1.74690259819999,1.77779269440001,80,5,40,76,"High Priority"
"Columba palumbus","Columba palumbus Linnaeus, 1758",2,2,0,2020,2023,100,3,1.303417,1.0615731,80,1,40,76,"High Priority"
"Emberiza buchanani","Emberiza buchanani Blyth, 1845",2,2,0,2021,2025,100,3,2.4126679641,1.5417794042,80,4,40,76,"High Priority"
"Emberiza buchanani",NA,2,0,2,2021,2025,100,3,2.4126679641,1.5417794042,80,4,40,76,"High Priority"
"Linaria flavirostris","Linaria flavirostris (Linnaeus, 1758)",2,2,0,2021,2021,100,3,0.7412829883,3.4708714667,80,1,40,76,"High Priority"
"Merops apiaster","Merops apiaster Linnaeus, 1758",2,2,0,2021,2024,100,3,1.3942237894,2.28253117520001,80,4,40,76,"High Priority"
"Merops apiaster",NA,2,0,2,2024,2025,100,3,1.3942237894,2.28253117520001,80,4,40,76,"High Priority"
"Monticola rufiventris","Monticola rufiventris (Jardine & Selby, 1833)",2,2,0,2021,2022,100,3,0.600505599999998,0.933429099999998,80,3,40,76,"High Priority"
"Netta rufina",NA,2,0,2,2012,2021,100,5,1.74690259819999,1.7813925,80,3,40,76,"High Priority"
"Oenanthe oenanthe",NA,2,0,2,2017,2023,100,5,2.41475926410001,3.75380999999999,80,3,40,76,"High Priority"
"Petronia petronia",NA,2,0,2,2017,2017,100,4,1.1923587,2.604742,80,1,40,76,"High Priority"
"Pseudopodoces humilis","Pseudopodoces humilis (Hume, 1871)",2,2,0,2022,2023,100,3,1.9182243,1.7642498,80,3,40,76,"High Priority"
"Spinus spinus","Spinus spinus (Linnaeus, 1758)",2,2,0,2021,2021,100,3,1.497204,1.40832593490001,80,3,40,76,"High Priority"
"Tadorna ferruginea","Tadorna ferruginea (Pallas, 1764)",2,2,0,2022,2023,100,4,2.7657045339,1.765844,80,4,40,76,"High Priority"
"Tadorna ferruginea",NA,2,0,2,2020,2021,100,4,2.7657045339,1.765844,80,4,40,76,"High Priority"
"Tarsiger chrysaeus",NA,2,0,2,2022,2025,100,1,0.0276220000000009,0.0193099999999902,100,10,20,76,"High Priority"
"Tringa glareola","Tringa glareola Linnaeus, 1758",2,2,0,2023,2024,100,3,1.063730109,1.3256616349,80,1,40,76,"High Priority"
"Tringa totanus","Tringa totanus (Linnaeus, 1758)",2,2,0,2018,2021,100,3,2.2183002791,2.5427327207,80,1,40,76,"High Priority"
"Turdus maximus","Turdus maximus (Seebohm, 1881)",2,2,0,2023,2024,100,3,0.512110021399998,2.10259957849999,80,1,40,76,"High Priority"
"Acrocephalus stentoreus","Acrocephalus stentoreus (Hemprich & Ehrenberg, 1833)",1,1,0,2022,2022,100,5,2.2647895982,2.3800671737,80,5,40,76,"High Priority"
"Anser anser","Anser anser (Linnaeus, 1758)",1,1,0,2018,2018,100,3,1.0003954077,0.899672000199999,80,0,40,76,"High Priority"
"Aquila heliaca","Aquila heliaca Savigny, 1809",1,1,0,2024,2024,100,4,0.311149473500002,1.357828287,80,4,40,76,"High Priority"
"Bubo bubo",NA,1,0,1,2022,2022,100,3,0.0409325927000026,0.0758164820000076,80,4,40,76,"High Priority"
"Bucanetes mongolicus","Bucanetes mongolicus (Swinhoe, 1870)",1,1,0,2021,2021,100,5,2.2762333,3.844414,80,1,40,76,"High Priority"
"Clamator jacobinus",NA,1,0,1,2023,2023,100,4,0.973274528699996,2.3858600457,80,4,40,76,"High Priority"
"Columba palumbus",NA,1,0,1,2018,2018,100,3,1.303417,1.0615731,80,1,40,76,"High Priority"
"Ichthyaetus ichthyaetus",NA,1,0,1,2024,2024,100,4,1.340667453,3.7797471402,80,5,40,76,"High Priority"
"Linaria flavirostris",NA,1,0,1,2016,2016,100,3,0.7412829883,3.4708714667,80,1,40,76,"High Priority"
"Mergus merganser",NA,1,0,1,2017,2017,100,3,0.312137999999997,1.80935359999999,80,2,40,76,"High Priority"
"Monticola rufiventris",NA,1,0,1,2025,2025,100,3,0.600505599999998,0.933429099999998,80,3,40,76,"High Priority"
"Montifringilla adamsi","Montifringilla adamsi Adams, 1859",1,1,0,2021,2021,100,3,0.843995999999997,3.75063,80,2,40,76,"High Priority"
"Motacilla flava",NA,1,0,1,2025,2025,100,4,0.824489999999997,0.682185000000004,80,5,40,76,"High Priority"
"Oenanthe isabellina","Oenanthe isabellina (Temminck, 1829)",1,1,0,2022,2022,100,3,0.912658598199997,1.13121269440001,80,4,40,76,"High Priority"
"Otus lettia","Otus lettia (Hodgson, 1836)",1,1,0,2020,2020,100,3,0.250258490299998,1.3037449,80,4,40,76,"High Priority"
"Prinia hodgsonii",NA,1,0,1,2023,2023,100,3,0.498654000000002,0.928135999999995,80,4,40,76,"High Priority"
"Pseudopodoces humilis",NA,1,0,1,2023,2023,100,3,1.9182243,1.7642498,80,3,40,76,"High Priority"
"Scolopax rusticola",NA,1,0,1,2024,2024,100,3,1.57525,3.0811173243,80,4,40,76,"High Priority"
"Spinus spinus",NA,1,0,1,2021,2021,100,3,1.497204,1.40832593490001,80,3,40,76,"High Priority"
"Tringa glareola",NA,1,0,1,2014,2014,100,3,1.063730109,1.3256616349,80,1,40,76,"High Priority"
"Tringa totanus",NA,1,0,1,2021,2021,100,3,2.2183002791,2.5427327207,80,1,40,76,"High Priority"
"Turdus maximus",NA,1,0,1,2016,2016,100,3,0.512110021399998,2.10259957849999,80,1,40,76,"High Priority"
"Alauda arvensis","Alauda arvensis Linnaeus, 1758",5,5,0,2019,2023,100,5,1.74690259819999,2.6833719,80,6,20,70,"High Priority"
"Heterophasia capistrata","Heterophasia capistrata (Vigors, 1831)",5,5,0,2022,2024,100,3,0.644819056000003,0.0876999999999981,80,6,20,70,"High Priority"
"Alauda gulgula","Alauda gulgula Franklin, 1831",4,4,0,2021,2024,100,5,2.5506773975,1.03311000000001,80,7,20,70,"High Priority"
"Fringilla coelebs","Fringilla coelebs Linnaeus, 1758",4,4,0,2021,2025,100,5,1.8979277637,3.1257066667,80,6,20,70,"High Priority"
"Gallinago gallinago",NA,4,0,4,2022,2025,100,4,1.74690259819999,2.46776269440001,80,7,20,70,"High Priority"
"Lanius excubitor",NA,4,0,4,2020,2022,100,3,0.9071162288,1.1692467065,80,6,20,70,"High Priority"
"Locustella major",NA,4,0,4,2022,2025,100,4,0.293866139599999,0.128932679000002,80,6,20,70,"High Priority"
"Megaceryle lugubris","Megaceryle lugubris (Temminck, 1834)",4,4,0,2023,2024,100,5,0.498187899999998,1.9794296,80,6,20,70,"High Priority"
"Turdus viscivorus","Turdus viscivorus Linnaeus, 1758",4,4,0,2019,2024,100,7,2.375969952,2.46509533700001,60,3,40,70,"High Priority"
"Alauda arvensis",NA,3,0,3,2021,2023,100,5,1.74690259819999,2.6833719,80,6,20,70,"High Priority"
"Alauda gulgula",NA,3,0,3,2024,2024,100,5,2.5506773975,1.03311000000001,80,7,20,70,"High Priority"
"Aythya ferina",NA,3,0,3,2012,2024,100,7,2.3471625,1.8468847,60,1,40,70,"High Priority"
"Aythya fuligula",NA,3,0,3,2012,2025,100,6,1.6787692,3.52997439999999,60,3,40,70,"High Priority"
"Emberiza fucata",NA,3,0,3,2016,2022,100,5,1.0066824162,2.50893173569999,80,8,20,70,"High Priority"
"Ficedula tricolor",NA,3,0,3,2024,2024,100,5,0.823761000000005,1.39911412789999,80,27,20,70,"High Priority"
"Gallinago gallinago","Gallinago gallinago (Linnaeus, 1758)",3,3,0,2021,2025,100,4,1.74690259819999,2.46776269440001,80,7,20,70,"High Priority"
"Oenanthe deserti","Oenanthe deserti (Temminck, 1825)",3,3,0,2022,2024,100,5,1.1608325752,3.7490012734,80,6,20,70,"High Priority"
"Oenanthe deserti",NA,3,0,3,2023,2025,100,5,1.1608325752,3.7490012734,80,6,20,70,"High Priority"
"Prunella himalayana","Prunella himalayana (Blyth, 1842)",3,3,0,2019,2024,100,6,1.4654365294,2.9611611383,60,4,40,70,"High Priority"
"Prunella himalayana",NA,3,0,3,2023,2024,100,6,1.4654365294,2.9611611383,60,4,40,70,"High Priority"
"Strix aluco","Strix aluco Linnaeus, 1758",3,3,0,2021,2024,100,5,1.243182367,2.33415064990001,80,6,20,70,"High Priority"
"Strix aluco",NA,3,0,3,2021,2024,100,5,1.243182367,2.33415064990001,80,6,20,70,"High Priority"
"Turdus viscivorus",NA,3,0,3,2017,2023,100,7,2.375969952,2.46509533700001,60,3,40,70,"High Priority"
"Cephalopyrus flammiceps",NA,2,0,2,2024,2024,100,4,0.613122063200002,1.58122139300001,80,8,20,70,"High Priority"
"Fringilla coelebs",NA,2,0,2,2022,2025,100,5,1.8979277637,3.1257066667,80,6,20,70,"High Priority"
"Lanius excubitor","Lanius excubitor Linnaeus, 1758",2,2,0,2022,2023,100,3,0.9071162288,1.1692467065,80,6,20,70,"High Priority"
"Locustella major","Locustella major (W.E.Brooks, 1871)",2,2,0,2023,2024,100,4,0.293866139599999,0.128932679000002,80,6,20,70,"High Priority"
"Lophura leucomelanos",NA,2,0,2,2021,2024,100,5,0.660356399999998,1.02901881109999,80,17,20,70,"High Priority"
"Megaceryle lugubris",NA,2,0,2,2024,2024,100,5,0.498187899999998,1.9794296,80,6,20,70,"High Priority"
"Picumnus innominatus",NA,2,0,2,2019,2021,100,5,0.704971999999998,1.178753,80,8,20,70,"High Priority"
"Psittacula eupatria","Psittacula eupatria (Linnaeus, 1766)",2,2,0,2024,2024,100,3,0.135187225300001,1.6730989,80,10,20,70,"High Priority"
"Emberiza citrinella","Emberiza citrinella Linnaeus, 1758",1,1,0,2025,2025,100,4,2.3654598217,0.9518546165,80,8,20,70,"High Priority"
"Heterophasia capistrata",NA,1,0,1,2024,2024,100,3,0.644819056000003,0.0876999999999981,80,6,20,70,"High Priority"
"Lophura leucomelanos","Lophura leucomelanos hamiltonii (J.E.Gray, 1829)",1,1,0,2021,2021,100,5,0.660356399999998,1.02901881109999,80,17,20,70,"High Priority"
"Pteruthius xanthochlorus",NA,1,0,1,2024,2024,100,5,0.6363983946,0.517869999999988,80,14,20,70,"High Priority"
"Rallus aquaticus","Rallus aquaticus Linnaeus, 1758",1,1,0,2021,2021,100,4,0.927724088600002,1.13654995509999,80,9,20,70,"High Priority"
"Glaucidium brodiei","Taenioptynx brodiei (Burton, 1836)",10,10,0,2021,2024,80,2,0.154724000000002,0.134129999999999,100,10,20,68,"High Priority"
"Tarsiger chrysaeus","Tarsiger chrysaeus Hodgson, 1845",8,8,0,2022,2025,80,1,0.0276220000000009,0.0193099999999902,100,10,20,68,"High Priority"
"Acrocephalus stentoreus",NA,6,0,6,2018,2024,80,5,2.2647895982,2.3800671737,80,5,40,68,"High Priority"
"Aegithalos leucogenys","Aegithalos leucogenys (Moore, 1854)",6,6,0,2019,2024,80,3,0.736414000000003,0.700400000000002,80,4,40,68,"High Priority"
"Calliope pectoralis",NA,6,0,6,2016,2023,80,5,2.1184456495,2.6427374754,80,4,40,68,"High Priority"
"Emberiza lathami","Emberiza lathami J.E.Gray, 1831",6,6,0,2021,2022,80,4,0.636255305899994,0.440552329599996,80,5,40,68,"High Priority"
"Haliastur indus","Haliastur indus (Boddaert, 1783)",6,6,0,2020,2020,80,1,0,0,100,6,20,68,"High Priority"
"Mareca penelope","Mareca penelope (Linnaeus, 1758)",6,6,0,2018,2023,80,4,0.68197,0.913460000000001,80,4,40,68,"High Priority"
"Carpodacus grandis","Carpodacus grandis Blyth, 1849",5,5,0,2021,2024,100,8,2.4566092,4.85708837830001,60,7,20,64,"High Priority"
"Cinclus cinclus",NA,5,0,5,2017,2024,100,9,2.48737089999999,1.958162,60,9,20,64,"High Priority"
"Leucosticte brandti",NA,5,0,5,2013,2022,100,7,2.8217123055,4.9960183333,60,9,20,64,"High Priority"
"Phylloscopus affinis",NA,5,0,5,2002,2024,100,8,2.3100527634,5.12808566380001,60,8,20,64,"High Priority"
"Prunella atrogularis",NA,5,0,5,2022,2024,100,8,1.74690259819999,2.4239685,60,11,20,64,"High Priority"
"Anas crecca",NA,4,0,4,2022,2025,100,8,1.7460950083,2.20596995509999,60,12,20,64,"High Priority"
"Buteo refectus","Buteo refectus Portenko, 1935",4,4,0,2020,2021,100,7,1.24439275029999,2.2255478413,60,10,20,64,"High Priority"
"Catreus wallichii",NA,4,0,4,2021,2024,100,6,0.464888471499997,0.757911417599999,60,6,20,64,"High Priority"
"Columba leuconota",NA,4,0,4,2011,2024,100,9,1.59562040940001,2.83607000000001,60,6,20,64,"High Priority"
"Leptopoecile sophiae",NA,4,0,4,2021,2025,100,6,1.8954150327,3.1240040255,60,9,20,64,"High Priority"
"Lophophorus impejanus",NA,4,0,4,2021,2025,100,9,1.007535,1.05791499999999,60,13,20,64,"High Priority"
"Niltava sundara",NA,4,0,4,2020,2025,100,6,0.661824000000003,1.5310150743,60,15,20,64,"High Priority"
"Pernis ptilorhynchus",NA,4,0,4,2020,2022,100,9,2.2680491138,2.55528451410001,60,11,20,64,"High Priority"
"Phoenicurus erythronotus",NA,4,0,4,2017,2025,100,9,2.368942,2.47264418869999,60,9,20,64,"High Priority"
"Phoenicurus frontalis",NA,4,0,4,2016,2025,100,8,2.3034360866,3.87519999999999,60,7,20,64,"High Priority"
"Regulus regulus",NA,4,0,4,2022,2025,100,10,1.75728119999999,2.22094779999999,60,30,20,64,"High Priority"
"Tetraogallus himalayensis",NA,4,0,4,2019,2025,100,9,2.3934414968,4.76694297669999,60,7,20,64,"High Priority"
"Ceryle rudis","Ceryle rudis (Linnaeus, 1758)",3,3,0,2023,2024,100,6,0.6541228269,2.7723608494,60,14,20,64,"High Priority"
"Coracias garrulus",NA,3,0,3,2020,2024,100,10,1.3148981377,2.3712220429,60,10,20,64,"High Priority"
"Culicicapa ceylonensis",NA,3,0,3,2021,2024,100,8,1.40765,1.12515,60,26,20,64,"High Priority"
"Emberiza leucocephalos","Emberiza leucocephalos S.G.Gmelin, 1771",3,3,0,2021,2025,100,7,2.3521836085,2.73469900000001,60,11,20,64,"High Priority"
"Francolinus francolinus",NA,3,0,3,2018,2024,100,7,0.702621416599996,0.985860000000002,60,25,20,64,"High Priority"
"Fringilla montifringilla","Fringilla montifringilla Linnaeus, 1758",3,3,0,2021,2025,100,8,2.4052092418,1.39325307039999,60,11,20,64,"High Priority"
"Glaucidium cuculoides",NA,3,0,3,2018,2024,100,7,0.593208887899998,1.7452654571,60,8,20,64,"High Priority"
"Ibidorhyncha struthersii","Ibidorhyncha struthersii Vigors, 1832",3,3,0,2022,2023,100,7,1.2380399984,3.8187764043,60,15,20,64,"High Priority"
"Orthotomus sutorius",NA,3,0,3,2018,2024,100,6,0.365845694899996,0.402092670399995,60,18,20,64,"High Priority"
"Petrochelidon fluvicola",NA,3,0,3,2022,2025,100,6,0.695723000000001,1.362645,60,12,20,64,"High Priority"
"Prunella collaris",NA,3,0,3,2005,2023,100,8,1.3266899091,3.89622999999999,60,11,20,64,"High Priority"
"Vanellus indicus",NA,3,0,3,2019,2024,100,9,0.257618678299998,2.85122976870001,60,8,20,64,"High Priority"
"Aquila nipalensis",NA,2,0,2,2024,2024,100,7,0.511809999999997,1.3643138803,60,8,20,64,"High Priority"
"Catreus wallichii","Catreus wallichii (Hardwicke, 1827)",2,2,0,2022,2022,100,6,0.464888471499997,0.757911417599999,60,6,20,64,"High Priority"
"Certhia hodgsoni",NA,2,0,2,2017,2024,100,6,2.2152294651,2.1310525,60,10,20,64,"High Priority"
"Garrulus lanceolatus",NA,2,0,2,2023,2024,100,10,1.20616,1.7899125,60,18,20,64,"High Priority"
"Lanius vittatus",NA,2,0,2,2021,2022,100,7,2.145790733,3.70280978539999,60,9,20,64,"High Priority"
"Motacilla maderaspatensis",NA,2,0,2,2023,2023,100,7,1.417992,2.73774071539999,60,12,20,64,"High Priority"
"Phylloscopus tytleri",NA,2,0,2,2022,2024,100,6,1.640518,3.63724999999999,60,8,20,64,"High Priority"
"Psilopogon asiaticus",NA,2,0,2,2017,2018,100,8,0.546697280499998,0.329615113000003,60,9,20,64,"High Priority"
"Ptyonoprogne rupestris",NA,2,0,2,2024,2025,100,7,1.824872,2.51738641510001,60,9,20,64,"High Priority"
"Tachybaptus ruficollis","Tachybaptus ruficollis (Pallas, 1764)",2,2,0,2019,2023,100,8,1.4561385982,2.339626,60,13,20,64,"High Priority"
"Tachymarptis melba",NA,2,0,2,2021,2024,100,10,1.1202613611,1.16065833329999,60,29,20,64,"High Priority"
"Tyto javanica","Tyto javanica (J.F.Gmelin, 1788)",2,2,0,2020,2023,100,6,0.829956648,2.5387411752,60,11,20,64,"High Priority"
"Anas acuta",NA,1,0,1,2024,2024,100,7,2.1210761892,2.4784019491,60,7,20,64,"High Priority"
"Falco peregrinus","Falco peregrinus babylonicus P.L.Sclater, 1861",1,1,0,2024,2024,100,10,1.5457305982,2.51643890000001,60,21,20,64,"High Priority"
"Falco peregrinus","Falco peregrinus peregrinator Sundevall, 1837",1,1,0,2024,2024,100,10,1.5457305982,2.51643890000001,60,21,20,64,"High Priority"
"Phylloscopus subviridis",NA,1,0,1,2022,2022,100,9,1.5637200495,1.62074,60,18,20,64,"High Priority"
"Rhipidura albicollis",NA,1,0,1,2018,2018,100,6,0.703786000000001,1.0145,60,11,20,64,"High Priority"
"Chlidonias hybrida",NA,10,0,10,2014,2025,80,4,0.24306653,0.202642974900002,80,6,20,62,"High Priority"
"Corvus frugilegus","Corvus frugilegus Linnaeus, 1758",10,10,0,2020,2024,80,5,0.387826000000004,1.17694999999999,80,10,20,62,"High Priority"
"Picumnus innominatus","Picumnus innominatus Burton, 1836",10,10,0,2019,2024,80,5,0.704971999999998,1.178753,80,8,20,62,"High Priority"
"Seicercus whistleri","Phylloscopus whistleri (Ticehurst, 1925)",10,10,0,2021,2025,80,4,0.567405999999998,0.265492000000009,80,10,20,62,"High Priority"
"Sitta cinnamoventris","Sitta cinnamoventris Blyth, 1842",10,10,0,2021,2024,80,5,1.406601,0.865735999999998,80,10,20,62,"High Priority"
"Leiothrix lutea","Leiothrix lutea (Scopoli, 1786)",9,9,0,2020,2024,80,5,0.630782999999994,0.151440000000008,80,9,20,62,"High Priority"
"Oenanthe picata","Oenanthe picata (Blyth, 1847)",8,8,0,2018,2024,80,6,1.795616,1.16359,60,4,40,62,"High Priority"
"Psittacula eupatria",NA,8,0,8,2020,2024,80,3,0.135187225300001,1.6730989,80,10,20,62,"High Priority"
"Rallus aquaticus",NA,8,0,8,2020,2025,80,4,0.927724088600002,1.13654995509999,80,9,20,62,"High Priority"
"Cuculus saturatus","Cuculus saturatus Blyth, 1843",7,7,0,2022,2024,80,4,1.14044,0.936220000000006,80,7,20,62,"High Priority"
"Curruca curruca",NA,7,0,7,2017,2025,80,7,2.8591163684,5.2011471319,60,3,40,62,"High Priority"
"Elanus caeruleus","Elanus caeruleus (Desfontaines, 1789)",7,7,0,2020,2023,80,5,0.0770200000000045,1.16815,80,7,20,62,"High Priority"
"Emberiza citrinella",NA,7,0,7,2022,2025,80,4,2.3654598217,0.9518546165,80,8,20,62,"High Priority"
"Emberiza fucata","Emberiza fucata Pallas, 1776",7,7,0,2020,2023,80,5,1.0066824162,2.50893173569999,80,8,20,62,"High Priority"
"Garrulus glandarius","Garrulus glandarius (Linnaeus, 1758)",7,7,0,2020,2024,80,4,0.605938000000002,0.110650000000007,80,7,20,62,"High Priority"
"Monticola cinclorhyncha",NA,7,0,7,2021,2024,80,5,1.6827622843,2.4778219186,80,7,20,62,"High Priority"
"Acrocephalus dumetorum","Acrocephalus dumetorum Blyth, 1849",6,6,0,2021,2024,80,5,0.828789,1.10289,80,6,20,62,"High Priority"
"Aythya ferina","Aythya ferina (Linnaeus, 1758)",6,6,0,2018,2023,80,7,2.3471625,1.8468847,60,1,40,62,"High Priority"
"Aythya fuligula","Aythya fuligula (Linnaeus, 1758)",6,6,0,2018,2021,80,6,1.6787692,3.52997439999999,60,3,40,62,"High Priority"
"Cephalopyrus flammiceps","Cephalopyrus flammiceps (Burton, 1836)",6,6,0,2021,2024,80,4,0.613122063200002,1.58122139300001,80,8,20,62,"High Priority"
"Zapornia fusca",NA,6,0,6,2020,2023,80,3,0.210357812299996,0.418322590299994,80,6,20,62,"High Priority"
