"grid_lon","grid_lat","species_richness","total_records"
72,34.1,12,19
72,34.2,1,1
72,34.6,5,8
72,36.8,1,1
72.1,34.1,12,30
72.1,34.2,20,64
72.1,34.3,10,13
72.1,34.4,7,10
72.1,34.5,5,5
72.1,34.6,4,4
72.1,34.7,29,54
72.1,36,10,10
72.1,36.5,19,19
72.1,36.9,4,5
72.2,34.1,10,10
72.2,34.6,17,22
72.2,34.7,7,11
72.2,35.1,30,68
72.2,35.5,6,6
72.2,36.9,2,3
72.2,37,2,2
72.3,34.1,10,14
72.3,34.6,29,36
72.3,34.7,69,494
72.3,34.8,74,2279
72.3,34.9,4,4
72.3,35,14,14
72.3,35.6,14,14
72.3,36.3,37,67
72.3,37,14,24
72.4,34.2,2,4
72.4,34.5,8,9
72.4,34.6,15,15
72.4,34.7,41,138
72.4,34.8,67,3538
72.4,34.9,14,31
72.4,35,13,16
72.4,35.1,15,17
72.4,35.2,62,233
72.4,35.4,31,33
72.4,35.5,11,11
72.4,35.7,5,5
72.5,34,17,17
72.5,34.1,5,5
72.5,34.7,54,210
72.5,34.8,60,340
72.5,34.9,24,58
72.5,35,4,4
72.5,35.1,24,55
72.5,35.2,43,118
72.5,35.3,20,25
72.5,35.5,23,34
72.5,35.8,5,5
72.5,36.1,7,8
72.5,36.3,20,27
72.6,34,6,6
72.6,34.4,3,3
72.6,34.8,56,149
72.6,34.9,12,15
72.6,35.1,26,38
72.6,35.2,31,76
72.6,35.3,32,55
72.6,35.4,6,8
72.6,35.5,75,270
72.6,35.6,9,13
72.6,35.7,15,26
72.6,36.3,8,8
72.7,34,19,20
72.7,34.1,7,12
72.7,34.7,28,29
72.7,34.9,3,3
72.7,35.1,1,2
72.7,35.2,3,3
72.7,35.3,10,12
72.7,35.4,9,11
72.7,35.5,5,5
72.7,35.6,13,19
72.7,35.7,28,64
72.7,35.8,45,58
72.8,34.1,1,1
72.8,34.3,1,1
72.8,34.7,8,8
72.8,34.8,42,233
72.8,34.9,18,21
72.8,36.4,16,17
72.9,34,9,9
72.9,34.1,1,2
72.9,34.4,1,1
72.9,34.5,3,6
72.9,34.7,2,2
72.9,34.9,12,18
72.9,35,12,15
72.9,36.6,1,2
73,34.5,1,1
73,34.6,74,102
73,35,11,11
73,35.1,20,39
73,35.4,1,1
73,35.8,53,80
73.1,34,1,2
73.1,34.2,86,492
73.1,34.6,10,11
73.1,34.8,1,1
73.1,35.1,1,2
73.1,35.2,5,5
73.1,36.2,1,2
73.1,36.6,1,2
73.2,34.1,46,991
73.2,34.2,47,263
73.2,34.3,18,26
73.2,34.4,12,12
73.2,34.5,9,13
73.2,34.6,1,1
73.2,35,1,27
73.2,35.1,1,11
73.2,35.3,18,19
73.2,35.4,3,3
73.2,35.5,1,1
73.2,36.5,1,2
73.3,34.1,48,111
73.3,34.2,39,49
73.3,34.3,5,5
73.3,34.4,28,38
73.3,34.5,57,138
73.3,34.6,14,14
73.3,34.9,1,1
73.3,35,1,12
73.3,35.1,1,1
73.3,35.5,6,8
73.4,34,39,67
73.4,34.1,138,504
73.4,34.2,70,157
73.4,34.5,30,56
73.4,34.6,43,69
73.4,34.7,66,123
73.5,34.1,5,5
73.5,34.2,7,16
73.5,34.3,19,101
73.5,34.4,17,43
73.5,34.5,2,2
73.5,34.6,162,1410
73.5,34.7,41,59
73.5,34.8,14,14
73.5,36.2,1,2
73.6,34.4,2,2
73.6,34.5,1,1
73.6,34.6,8,15
73.6,34.8,8,8
73.6,34.9,56,126
73.6,35.5,4,4
73.7,34.9,100,139
73.7,35.4,8,8
73.7,35.5,2,2
73.7,36.4,1,2
73.8,34.1,1,1
73.8,34.6,1,1
73.8,34.9,43,110
73.8,35.5,23,24
73.8,36.2,1,2
73.8,36.5,1,1
73.9,34.4,1,1
73.9,34.6,2,2
73.9,35,9,10
73.9,35.1,91,184
74,34.1,12,12
74,34.6,3,3
74,35.1,29,42
74,36.1,1,1
74,36.2,1,1
74.1,34.1,2,2
74.1,34.2,2,2
74.1,36,1,1
74.1,36.1,1,2
74.1,36.2,1,2
74.1,36.3,4,5
74.2,34.1,2,2
74.2,34.2,2,2
74.2,34.8,1,1
74.2,34.9,1,1
74.2,35.1,1,1
74.2,35.4,1,1
74.2,36.2,13,26
74.2,36.3,1,1
74.3,34,1,1
74.3,34.1,1,1
74.3,34.2,7,7
74.3,34.3,1,1
74.3,34.6,3,3
74.3,35,1,1
74.3,35.6,1,1
74.3,35.9,11,18
74.3,36.1,1,1
74.4,34,32,53
74.4,34.1,16,24
74.4,34.2,1,1
74.4,34.3,37,55
74.4,34.8,2,2
74.4,35.5,1,1
74.4,35.6,1,1
74.4,35.9,3,3
74.5,34.1,2,2
74.5,34.3,3,3
74.5,34.4,2,2
74.5,35.2,1,2
74.5,35.9,4,4
74.5,36.1,1,1
74.5,36.3,1,1
74.6,34,5,5
74.6,34.3,10,13
74.6,34.4,8,9
74.6,35.2,30,41
74.6,35.3,1,1
74.6,35.9,1,1
74.6,36.2,1,2
74.6,36.3,4,6
74.6,36.4,2,2
74.7,34,18,18
74.7,34.1,32,41
74.7,34.2,9,9
74.7,34.3,10,12
74.7,34.4,7,7
74.7,35.2,7,12
74.7,36.3,5,13
74.7,36.4,3,5
74.7,36.6,4,4
74.8,34,91,226
74.8,34.1,99,309
74.8,34.2,63,85
74.8,34.3,4,4
74.8,35.3,2,3
74.8,36.2,3,6
74.8,36.6,2,4
74.8,36.7,1,1
74.9,34,16,19
74.9,34.1,71,262
74.9,34.2,21,31
74.9,34.3,14,15
74.9,35.4,1,2
74.9,36.2,4,8
74.9,36.3,2,2
74.9,36.4,37,66
74.9,36.5,2,4
74.9,36.7,1,1
75,34,4,4
75,34.1,18,24
75,34.2,3,3
75,34.3,2,2
75,34.4,8,9
75,34.5,1,1
75,34.6,1,1
75,36,4,4
75,36.9,2,2
75.1,34.1,7,7
75.1,34.2,3,3
75.1,34.3,10,11
75.1,34.4,1,1
75.1,34.9,1,1
75.1,35,1,1
75.1,36.4,1,1
75.2,34.1,1,1
75.2,34.2,2,2
75.2,34.3,1,2
75.2,34.9,15,19
75.2,35.4,1,1
75.3,34,52,87
75.3,34.1,5,5
75.3,34.2,1,1
75.3,34.3,11,16
75.3,35.3,1,1
75.3,35.5,2,4
75.4,34.1,8,12
75.4,34.3,2,2
75.4,35,2,4
75.4,35.4,1,2
75.4,35.8,1,1
75.4,36.4,2,5
75.4,36.8,9,9
75.4,36.9,1,1
75.5,34.1,2,2
75.5,34.2,2,2
75.5,34.4,1,2
75.5,35,6,11
75.5,35.1,4,6
75.5,35.3,8,8
75.5,35.4,1,1
75.5,35.7,1,1
75.5,36.8,1,1
75.6,34.3,4,4
75.6,34.4,2,2
75.6,35.3,4,7
75.6,36.2,1,1
75.6,36.5,7,7
75.7,34.4,15,22
75.7,35.4,1,2
75.7,35.6,1,1
75.7,36,1,1
75.7,36.4,3,3
75.8,36,1,1
75.8,36.5,1,1
75.9,34.1,2,2
75.9,34.2,1,1
75.9,34.3,1,1
75.9,35.2,1,2
75.9,35.4,2,2
75.9,35.5,2,2
75.9,35.7,1,2
75.9,36.1,1,1
76,34.1,9,9
76,34.3,9,9
76,34.4,1,1
76,35.4,2,2
76,35.7,6,7
76.1,34.3,1,1
76.1,34.5,17,19
76.1,34.6,15,15
76.2,34.1,1,1
76.2,34.3,1,1
76.2,34.5,3,5
76.2,34.6,1,1
76.2,35.7,10,10
76.3,34.1,1,1
76.3,34.5,3,3
76.3,35.7,22,46
76.4,34,1,1
76.4,34.4,7,11
76.4,34.6,1,1
76.4,35.2,1,1
76.4,35.4,1,1
76.4,35.7,4,4
76.5,34.4,1,2
76.5,35.7,11,32
76.5,35.8,1,1
76.6,34.1,1,1
76.7,34.3,1,1
76.7,34.4,4,4
76.8,34.1,5,7
76.8,34.2,14,16
76.8,34.3,9,19
76.8,34.8,8,12
76.8,34.9,1,1
76.9,34.1,2,2
76.9,34.3,2,2
76.9,34.5,2,2
76.9,34.8,1,1
77,34.2,5,6
77,34.3,12,13
77,34.9,1,1
77.1,34.1,1,1
77.1,34.2,2,2
77.1,34.3,11,16
77.2,34,1,1
77.2,34.1,1,1
77.2,34.2,8,10
77.2,34.3,3,3
77.2,34.6,2,2
77.3,34,5,5
77.3,34.1,3,4
77.3,34.2,11,15
77.3,34.5,1,1
77.4,34,18,25
77.4,34.1,28,64
77.4,34.2,15,18
77.4,34.4,1,1
77.4,34.5,1,1
77.4,34.7,1,1
77.5,34,3,3
77.5,34.1,10,14
77.5,34.2,6,7
77.5,34.4,1,1
77.5,34.6,15,44
77.5,34.8,1,1
